1;51
1;52
2;48
2;49
2;50
2;51
2;52
3;46
3;47
3;49
3;50
3;51
3;52
4;44
4;45
4;47
4;51
5;43
5;44
5;50
5;51
6;50
9;51
10;40
11;39
11;40
12;38
12;39
12;51
13;38
13;40
14;37
14;41
15;35
15;36
15;41
16;33
16;34
16;35
16;40
17;32
17;33
17;36
17;40
17;51
18;34
18;36
18;40
19;34
19;36
19;40
20;35
20;36
20;40
21;35
21;36
21;40
22;16
22;17
22;18
22;35
22;36
22;41
23;12
23;13
23;14
23;19
23;20
23;24
23;26
23;35
23;41
24;11
24;21
24;22
24;25
24;35
24;41
25;10
25;22
25;28
25;35
25;41
26;9
26;21
26;28
26;29
26;35
26;41
27;20
27;21
27;29
27;36
27;41
27;42
28;9
28;13
28;30
28;36
29;14
29;21
29;22
29;23
29;30
29;32
29;37
30;8
30;14
30;30
30;37
31;8
31;14
31;20
31;29
31;30
31;32
31;38
32;14
32;22
32;31
32;39
33;8
33;14
33;31
34;8
34;13
34;31
35;8
35;13
35;22
35;23
35;24
35;31
36;8
36;12
36;19
36;20
36;25
36;27
36;32
36;33
37;12
37;17
37;18
37;28
37;30
37;33
38;7
38;13
38;16
38;30
38;31
38;33
38;34
38;35
39;7
39;13
39;16
39;30
39;31
39;32
39;33
39;34
39;36
39;38
39;39
39;40
39;41
39;42
40;7
40;14
40;15
40;19
40;28
40;29
40;30
40;32
40;33
40;34
40;42
40;43
41;7
41;14
41;15
41;21
41;22
41;28
41;34
41;35
41;43
41;44
42;17
42;24
42;27
42;29
42;34
42;36
42;45
43;13
43;17
43;25
43;26
43;34
43;36
43;45
44;6
44;18
44;25
44;26
44;34
44;37
44;45
45;6
45;16
45;18
45;23
45;24
45;27
45;33
45;46
46;5
46;12
46;22
46;23
46;28
46;30
46;32
46;38
46;46
47;5
47;21
47;46
48;5
48;16
48;20
48;28
48;31
48;38
48;46
48;47
49;5
49;18
49;19
49;31
49;38
50;5
50;15
50;18
50;22
50;28
50;30
50;38
50;47
51;5
51;15
51;17
51;38
51;47
52;5
52;15
52;16
52;17
52;22
52;28
52;29
52;37
52;47
53;5
53;12
53;15
53;16
53;22
53;29
54;6
54;14
54;15
54;16
54;22
54;27
54;28
54;37
55;13
55;14
55;17
55;21
55;22
55;24
55;25
55;26
55;27
55;28
55;35
56;6
56;18
56;19
56;20
56;21
56;22
56;23
56;27
56;28
56;30
56;34
57;20
57;26
57;28
57;31
57;32
58;19
58;23
58;25
58;26
58;28
58;29
58;32
58;33
59;14
59;19
59;24
59;25
59;29
59;30
59;34
60;8
60;18
60;24
61;18
61;24
62;8
62;19
62;23
62;24
63;9
63;16
63;18
63;19
63;24
64;9
64;19
64;20
64;23
64;24
64;25
65;10
65;20
65;21
65;25
66;22
66;26
67;10
67;22
67;26
68;10
68;27
69;10
69;27
70;11
70;28
71;12
71;13
71;14
71;15
72;16
72;18
72;19
72;20
72;21
72;27
73;22
73;24
73;25
73;26
